ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
222403,222400,敦化市,敦化,"中国,吉林省,延边朝鲜族自治州,敦化市",Dunhua,3,433,133700,12.823.242,4.337.304,,
222404,222400,珲春市,珲春,"中国,吉林省,延边朝鲜族自治州,珲春市",Hunchun,3,433,133300,13.036.572,4.286.242,,
222405,222400,龙井市,龙井,"中国,吉林省,延边朝鲜族自治州,龙井市",Longjing,3,433,133400,12.942.584,4.276.804,,
222406,222400,和龙市,和龙,"中国,吉林省,延边朝鲜族自治州,和龙市",Helong,3,433,133500,12.901.077,425.464,,
222424,222400,汪清县,汪清,"中国,吉林省,延边朝鲜族自治州,汪清县",Wangqing,3,433,133200,12.977.121,4.331.278,,
222426,222400,安图县,安图,"中国,吉林省,延边朝鲜族自治州,安图县",Antu,3,433,133600,12.890.625,4.311.533,,
230000,100000,黑龙江省,黑龙江,"中国,黑龙江省",Heilongjiang,1,,,126.642.464,45.756.967,1A2,
230100,230000,哈尔滨市,哈尔滨,"中国,黑龙江省,哈尔滨市",Harbin,2,451,150010,126.642.464,45.756.967,1A2,
230102,230100,道里区,道里,"中国,黑龙江省,哈尔滨市,道里区",Daoli,3,451,150010,12.661.705,4.575.586,,
230103,230100,南岗区,南岗,"中国,黑龙江省,哈尔滨市,南岗区",Nangang,3,451,150006,12.666.854,4.575.996,,
230104,230100,道外区,道外,"中国,黑龙江省,哈尔滨市,道外区",Daowai,3,451,150020,12.664.938,4.579.187,,
230108,230100,平房区,平房,"中国,黑龙江省,哈尔滨市,平房区",Pingfang,3,451,150060,12.663.729,4.559.777,,
230109,230100,松北区,松北,"中国,黑龙江省,哈尔滨市,松北区",Songbei,3,451,150028,12.656.276,4.580.831,,
230110,230100,香坊区,香坊,"中国,黑龙江省,哈尔滨市,香坊区",Xiangfang,3,451,150036,12.667.968,4.572.383,,
230111,230100,呼兰区,呼兰,"中国,黑龙江省,哈尔滨市,呼兰区",Hulan,3,451,150500,12.658.792,4.588.895,,
230112,230100,阿城区,阿城,"中国,黑龙江省,哈尔滨市,阿城区",A'cheng,3,451,150300,12.697.525,4.554.144,,
